stock_symbol,date,total_volume
AAPL,2024-05-23,58785944
AAPL,2024-05-24,41349631
AAPL,2024-05-28,58083371
AAPL,2024-05-29,60240454
AAPL,2024-05-30,58490944
AAPL,2024-05-31,96937644
AAPL,2024-06-03,55160242
AAPL,2024-06-04,54387236
AAPL,2024-06-05,60438393
AAPL,2024-06-06,46099647
AAPL,2024-06-07,57916567
AAPL,2024-06-10,102981196
AAPL,2024-06-11,181761506
AAPL,2024-06-12,206222922
AAPL,2024-06-13,105771531
AAPL,2024-06-14,75629310
AAPL,2024-06-17,104193159
AAPL,2024-06-18,88558257
AAPL,2024-06-20,95552661
AAPL,2024-06-21,349745477
MSFT,2024-05-23,20040945
MSFT,2024-05-24,13723468
MSFT,2024-05-28,18228099
MSFT,2024-05-29,18256343
MSFT,2024-05-30,31827157
MSFT,2024-05-31,60988077
MSFT,2024-06-03,19173634
MSFT,2024-06-04,16561939
MSFT,2024-06-05,19887625
MSFT,2024-06-06,17262944
MSFT,2024-06-07,15705065
MSFT,2024-06-10,15969414
MSFT,2024-06-11,16756066
MSFT,2024-06-12,25617937
MSFT,2024-06-13,18971501
MSFT,2024-06-14,15711904
MSFT,2024-06-17,24406184
MSFT,2024-06-18,20117224
MSFT,2024-06-20,23733714
MSFT,2024-06-21,40891095
